id , dataset , resource , base , model , property , type   , ref      , source , prepare , level , status , visibility , access , uri                                         , eli              , title , description
, datasets/gov/vssa , , , ,                       , ns     ,          ,        ,         ,       ,        ,            ,        ,                                             , viiv:12str/1/1   , Valstybės skaitmeninių sprendimų agentūra ,
, , , , ,                                         , prefix , adms     ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/adms#                  ,                  ,       ,
, , , , ,                                         ,        , cv       ,        ,         ,       ,        ,            ,        , http://data.europa.eu/m8g/                  ,                  ,       ,
, , , , ,                                         ,        , dcat     ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/dcat#                  ,                  ,       ,
, , , , ,                                         ,        , dcatap   ,        ,         ,       ,        ,            ,        , http://data.europa.eu/r5r/                  ,                  ,       ,
, , , , ,                                         ,        , dcataplt ,        ,         ,       ,        ,            ,        , https://data.gov.lt/onto/DCATAPLT#          ,                  ,       ,
, , , , ,                                         ,        , dct      ,        ,         ,       ,        ,            ,        , http://purl.org/dc/terms/                   ,                  ,       ,
, , , , ,                                         ,        , dctype   ,        ,         ,       ,        ,            ,        , http://purl.org/dc/dcmitype/                ,                  ,       ,
, , , , ,                                         ,        , foaf     ,        ,         ,       ,        ,            ,        , http://xmlns.com/foaf/0.1/                  ,                  ,       ,
, , , , ,                                         ,        , legal    ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/legal#                 ,                  ,       ,
, , , , ,                                         ,        , locn     ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/locn#                  ,                  ,       ,
, , , , ,                                         ,        , odrl     ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/odrl/2/                ,                  ,       ,
, , , , ,                                         ,        , org      ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/org#                   ,                  ,       ,
, , , , ,                                         ,        , owl      ,        ,         ,       ,        ,            ,        , http://www.w3.org/2002/07/owl#              ,                  ,       ,
, , , , ,                                         ,        , prov     ,        ,         ,       ,        ,            ,        , http://www.w3.org/ns/prov#                  ,                  ,       ,
, , , , ,                                         ,        , rdf      ,        ,         ,       ,        ,            ,        , http://www.w3.org/1999/02/22-rdf-syntax-ns# ,                  ,       ,
, , , , ,                                         ,        , rdfs     ,        ,         ,       ,        ,            ,        , http://www.w3.org/2000/01/rdf-schema#       ,                  ,       ,
, , , , ,                                         ,        , skos     ,        ,         ,       ,        ,            ,        , http://www.w3.org/2004/02/skos/core#        ,                  ,       ,
